機種,機號,壓縮機,馬達,電源板
CU-K40FHA2,2CY,9SS080XDA21,C4309-2090+C1,C4731-6380
CU-K40FHA2-S,2VP,9SS080XDA21,C4309-2090+C1,C4731-6380
CU-K50BCA2,0EJ,9RS102XJA21,C4309-2330+C2,C4731-4710
CU-K50BCA2-S,2IW,9RS102XJA21,C4309-2330+C2,C4731-4710
CU-K50BHA2,0PI,9RS102XJA21,C4309-2330+C2,C4731-4710
CU-K50BHA2-S,2IN,9RS102XJA21,C4309-2330+C2,C4731-4710
CU-K50FCA2,2DJ,9WS098XCA21,C4309-2330+C2,C4731-4710
CU-K50FCA2-S,2WA,9WS098XCA21,C4309-2330+C2,C4731-4710
CU-K50FHA2,2CZ,9WS098XCA21,C4309-2330+C2,C4731-4710
CU-K50FHA2-S,2VQ,9WS098XCA21,C4309-2330+C2,C4731-4710
CU-K63BCA2,0EK,9RD138XBB21,C4309-2560,C4731-1890
CU-K63BCA2-S,0EK,9RD138XBB21,C4309-2560,C4731-1890
CU-K63BHA2,0PJ,9RD138XBB21,C4309-2560,C4731-1890
CU-K63BHA2-S,0PJ,9RD138XBB21,C4309-2560,C4731-1890
CU-K63FCA2,2DK,9RS124XAB21,C4309-2580,C4731-6710
CU-K63FHA2,2DA,9RS124XAB21,C4309-2580,C4731-6710
CU-K63FHA2,2VR,9RS124XAB21,C4309-2580,C4731-6710
CU-K71BCA2,0EL,9RD138XBB21,C4309-2080,C4731-1890
CU-K71BCA2-S,0EL,9RD138XBB21,C4309-2080,C4731-1890
CU-K71BHA2,0PK,9RD138XBB21,C4309-2080,C4731-1890
CU-K71BHA2-S,2IP,9RD138XBB21,C4309-2080,C4731-1890
CU-K71FCA2,2DL,9RD138XHA23,C4309-2580,C4731-5690
CU-K71FHA2,2DB,9RD138XHA23,C4309-2580,C4731-5690
CU-K71FHA2,2VS,9RD138XHA23,C4309-2580,C4731-5690
CU-K80BCA2,0EM,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-K80BCA2-S,0EM,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-K80BHA2,0PL,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-K80BHA2-S,0PL,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-K90BCA2,0EN,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-K90BCA2-S,0EN,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-K90BHA2,0PM,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-K90BHA2-S,0PM,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-LJ22BCA2,0DW,9SS064XCB21,C4309-1830+C1,C4730-9513
CU-LJ22BCA2-S,0DW,9SS064XCB21,C4309-1830+C1,C4730-9513
CU-LJ22BHA2,0DN,9SS064XCB21,C4309-1830+C1,C4730-9513
CU-LJ22BHA2-S,0DN,9SS064XCB21,C4309-1830+C1,C4730-9513
CU-LJ28BCA2,0DX,9SS064XCB21,C4309-1830+C1,C4730-9513
CU-LJ28BCA2-S,0DX,9SS064XCB21,C4309-1830+C1,C4730-9513
CU-LJ28BHA2,0DO,9SS064XCB21,C4309-1830+C1,C4730-9513
CU-LJ28BHA2-S,0DO,9SS064XCB21,C4309-1830+C1,C4730-9513
CU-LJ36BCA2,0DY,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-LJ36BCA2-S,2IC,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-LJ36BHA2,0DP,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-LJ36BHA2-S,2HT,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-LJ40BCA2,0DZ,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-LJ40BCA2-S,2ID,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-LJ40BHA2,0DQ,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-LJ40BHA2-S,2HU,9SS080XBA21,C4309-2090+C1,C4731-4710
CU-LJ50BCA2,0EA,9WS098XCA21,C4309-2330+C2,C4731-7710
CU-LJ50BCA2-S,2IE,9WS098XCA21,C4309-2330+C2,C4731-7710
CU-LJ50BHA2,0DR,9WS098XCA21,C4309-2330+C2,C4731-7710
CU-LJ50BHA2-S,2HV,9WS098XCA21,C4309-2330+C2,C4731-7710
CU-LJ63BCA2,0EB,9RD138XHA23,C4309-2560,C4731-1890
CU-LJ63BCA2-S,0EB,9RD138XBB21,C4309-2560,C4731-1890
CU-LJ63BCA2-S,2IF,9RD138XHA23,C4309-2560+C2,C4731-1890
CU-LJ63BHA2,0DS,9RD138XHA23,C4309-2560,C4731-1890
CU-LJ63BHA2-S,2HW,9RD138XHA23,C4309-2560,C4731-1890
CU-LJ71BCA2,0EC,9RD138XHA23,C4309-2080,C4731-1890
CU-LJ71BCA2-S,0EC,9RD138XBB21,C4309-2080,C4731-1890
CU-LJ71BCA2-S,2IG,9RD138XHA23,C4309-2080+C1,C4731-1890
CU-LJ71BHA2,0DT,9RD138XHA23,C4309-2080,C4731-1890
CU-LJ71BHA2-S,2HX,9RD138XHA23,C4309-2080,C4731-1890
CU-LJ80BCA2,0ED,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-LJ80BCA2-S,0ED,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-LJ80BHA2,0DU,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-LJ80BHA2-S,0DU,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-LJ90BCA2,0EE,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-LJ90BCA2-S,0EE,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-LJ90BHA2,0DV,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-LJ90BHA2-S,0DV,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-P22C2,OLU,9RS058HAA21,C4305-450+C2,C4726-9260
CU-P28C2,0LV,9RS072HAA21,C4305-430+C2,C4726-9260
CU-PX110FCA2,0RF,9KD240XCA21,C4309-2430+C1,C4731-1931
CU-PX110FCA2-S,0RF,9KD240XCA21,C4309-2430+C1,C4731-1931
CU-PX110FHA2,0RG,9KD240XCA21,C4309-2430+C1,C4731-1931
CU-PX110FHA2-S,0RG,9KD240XCA21,C4309-2430+C1,C4731-1931
CU-PX22FCA2,0QN,9SS052XAA21,C4309-2330+C2,C4731-1870
CU-PX22FCA2-S,0QN,9SS052XAA21,C4309-2330+C2,C4731-1870
CU-PX22FDCA2,0VD,9SS052XAA21,C4309-2540+C2,C4731-1870
CU-PX22FDCA2-S,0VD,9SS052XAA21,C4309-2540+C2,C4731-1870
CU-PX22FDHA2,0VE,9SS052XAA21,C4309-2540+C2,C4731-1870
CU-PX22FDHA2-S,0VE,9SS052XAA21,C4309-2540+C2,C4731-1870
CU-PX22FHA2,0QO,9SS052XAA21,C4309-2330+C2,C4731-1870
CU-PX22FHA2-S,0QO,9SS052XAA21,C4309-2330+C2,C4731-1870
CU-PX22GDCA2,0VQ,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-PX22GDCA2-S,0VQ,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-PX22GDHA2,0VR,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-PX22GDHA2-S,0VR,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-PX28FCA2,0QP,9SS052XAA21,C4309-2330+C2,C4731-1870
CU-PX28FCA2-S,0QP,9SS052XAA21,C4309-2330+C2,C4731-1870
CU-PX28FDCA2,0VF,9SS052XAA21,C4309-2540+C2,C4731-1870
CU-PX28FDCA2-S,0VF,9SS052XAA21,C4309-2540+C2,C4731-1870
CU-PX28FDHA2,0VG,9SS052XAA21,C4309-2540+C2,C4731-1870
CU-PX28FDHA2-S,0VG,9SS052XAA21,C4309-2540+C2,C4731-1870
CU-PX28FHA2,0QQ,9SS052XAA21,C4309-2330+C2,C4731-1870
CU-PX28FHA2-S,0QQ,9SS052XAA21,C4309-2330+C2,C4731-1870
CU-PX28GDCA2,0VS,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-PX28GDCA2-S,0VS,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-PX28GDHA2,0VT,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-PX28GDHA2-S,0VT,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-PX36FCA2,0QR,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-PX36FCA2-S,0QR,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-PX36FHA2,0QS,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-PX36FHA2-S,2GD,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-PX40FCA2,0QT,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-PX40FCA2-S,0QT,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-PX40FHA2,0QU,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-PX40FHA2-S,2GE,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-PX50FCA2,0QV,9RS102XJA21,C4309-2540+C2,C4731-1870
CU-PX50FCA2-S,0GQ,9RS102XJA21,C4309-2540+C2,C4731-1870
CU-PX50FHA2,0QW,9RS102XJA21,C4309-2540+C2,C4731-1870
CU-PX50FHA2-S,0QW,9RS102XJA21,C4309-2540+C2,C4731-1870
CU-PX50FHA2-T,0QW,9RS102XJA21,C4309-2540+C2,C4731-1870
CU-PX63FCA2,0QX,9RD138XBB21,C4309-2560,C4731-1890
CU-PX63FCA2-S,0QX,9RD138XBB21,C4309-2560,C4731-1890
CU-PX63FHA2,0QY,9RD138XBB21,C4309-2560,C4731-1890
CU-PX63FHA2-S,0QY,9RD138XBB21,C4309-2560,C4731-1890
CU-PX71FCA2,0QZ,9RD138XBB21,C4309-2080,C4731-1890
CU-PX71FCA2-S,0QZ,9RD138XBB21,C4309-2080,C4731-1890
CU-PX71FHA2,0RA,9RD138XBB21,C4309-2080,C4731-1890
CU-PX71FHA2-S,0RA,9RD138XBB21,C4309-2080,C4731-1890
CU-PX80FCA2,0RB,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-PX80FCA2-S,0RB,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-PX80FHA2,0RC,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-PX80FHA2-S,0RC,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-PX90FCA2,0RD,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-PX90FCA2-S,0RD,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-PX90FHA2,0RE,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-PX90FHA2-S,0RE,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-QX110FCA2,0RZ,9KD240XCA21,C4309-2430+C1,C4731-1931
CU-QX110FCA2-S,0RZ,9KD240XCA21,C4309-2430+C1,C4731-1931
CU-QX110FHA2,0SA,9KD240XCA21,C4309-2430+C1,C4731-1931
CU-QX110FHA2-S,0SA,9KD240XCA21,C4309-2430+C1,C4731-1931
CU-QX22FCA2,0RH,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-QX22FCA2-S,0RH,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-QX22FHA2,0RI,9SS064XCB21,C4309-1830+C1,C4730-9513
CU-QX22FHA2-S,0RI,9SS064XCB21,C4309-1830+C1,C4730-9513
CU-QX28FCA2,0RJ,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-QX28FCA2-S,0RJ,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-QX28FHA2,0RK,9SS064XCB21,C4309-1830+C1,C4730-9513
CU-QX28FHA2-S,0RK,9SS064XCB21,C4309-1830+C1,C4730-9512
CU-QX36FCA2,0RL,9SS080XBA21,C4309-2550+C1,C4731-4710
CU-QX36FCA2-S,0RL,9SS080XBA21,C4309-2550+C1,C4731-4710
CU-QX36FHA2,0RM,9SS080XBA21,C4309-2550+C1,C4731-4710
CU-QX36FHA2-S,2GZ,9SS080XBA21,C4309-2550+C1,C4731-4710
CU-QX40FCA2,0RN,9SS080XBA21,C4309-2550+C1,C4731-4710
CU-QX40FCA2-S,2HK,9SS080XBA21,C4309-2550+C1,C4731-4710
CU-QX40FHA2,0RO,9SS080XBA21,C4309-2550+C1,C4731-4710
CU-QX40FHA2-S,2HA,9SS080XBA21,C4309-2550+C1,C4731-4710
CU-QX50FCA2,0RP,9WS098XCA21,C4309-2540+C2,C4731-4710
CU-QX50FCA2-S,0RP,9RS102XJA21,C4309-2540+C2,C4731-4710
CU-QX50FHA2,0RQ,9WS098XCA21,C4309-2540+C2,C4731-4710
CU-QX50FHA2-S,2HB,9WS098XCA21,C4309-2540+C2,C4731-4710
CU-QX63FCA2,0RR,9RD138XBB21,C4309-2560,C4731-1890
CU-QX63FCA2-S,0RR,9RD138XBB21,C4309-2560,C4731-1890
CU-QX63FHA2,0RS,9RD138XHA23,C4309-2560,C4731-1890
CU-QX63FHA2-S,0RS,9RD138XBB21,C4309-2560,C4731-1890
CU-QX71FCA2,0RT,9RD138XHA23,C4309-2080,C4731-1890
CU-QX71FCA2-S,0RT,9RD138XHA23,C4309-2080,C4731-1890
CU-QX71FHA2,0RU,9RD138XHA23,C4309-2080,C4731-1890
CU-QX71FHA2-S,2HD,9RD138XHA23,C4309-2080,C4731-1890
CU-QX80FCA2,0RV,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-QX80FCA2-S,0RV,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-QX80FHA2,0RW,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-QX80FHA2-S,0RW,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-QX90FCA2,0RX,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-QX90FCA2-S,0RX,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-QX90FHA2,0RY,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-QX90FHA2-S,0RY,9RD198XAB21,C4309-2430+C1,C4731-1910
CU-RX22GCA2,2CA,9SS052XEA21,C4309-2640,C4730-9513
CU-RX22GDCA2,2ZV,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-RX22GDCA2-S,3BD,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-RX22GDHA2,2ZW,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-RX22GHA2,2BP,9SS052XEA21,C4309-2640,C4730-9513
CU-RX28GCA2,2CB,9SS052XEA21,C4309-2640,C4730-9513
CU-RX28GDCA2,2ZX,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-RX28GDHA2,2ZY,9SS052XDA21,C4309-2540+C2,C4731-1870
CU-RX28GHA2,2BQ,9SS052XEA21,C4309-2640,C4730-9513
CU-RX36GCA2,2CC,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-RX36GCA2-S,2UT,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-RX36GHA2,2BR,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-RX36GHA2-S,2UI,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-RX40GCA2,2CD,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-RX40GCA2-S,2UU,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-RX40GHA2,2BS,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-RX40GHA2-S,2UJ,9SS080XBA21,C4309-2540+C2,C4731-1870
CU-RX50GCA2,2CE,9WS098XCA21,C4309-2540+C2,C4731-1870
CU-RX50GCA2-S,2UV,9WS098XCA21,C4309-2540+C2,C4731-1870
CU-RX50GHA2,2BT,9WS098XCA21,C4309-2540+C2,C4731-1870
CU-RX50GHA2-S,2UK,9WS098XCA21,C4309-2540+C2,C4731-1870
CU-RX63GCA2,2CF,9RD138XHA23,C4309-2560+C2,C4731-1890
CU-RX63GHA2,2BU,9RD138XHA23,C4309-2560+C2,C4731-1890
CU-RX63GHA2-S,2UL,9RD138XHA23,C4309-2560+C2,C4731-1890
CU-RX71GHA2,2BV,9RD138XHA23,C4309-2080,C4731-1890
F-Y12EM,98P,FH120YM-A,C4309-2330+C2,C4731-4710
F-Y12ES,98O,AKZ30U6LH,C4309-2330+C2,C4731-4710
F-Y16EN,99D,BSA325HJ-Y1DND,C4309-2330+C2,C4731-4710
F-Y22EN,98N,BSA418HW-Y1DN,C4309-2330+C2,C4731-4710
KDC-50209R,210,9WS098XCA21,C4309-2330+C2,C4731-4710
KDV-50209R,210,9WS098XCA21,C4309-2330+C2,C4731-4710
F-Y26JH,2AI,BSA418HW-Y1DN,C4309-2330+C2,C4731-4710
